complex,Halo_ARID4A,Halo_ARID4B,Halo_BRMS1,Halo_BRMS1L,Halo_GATAD1,HDAC1.Halo,HDAC2_Halo,Halo_ING1,Halo_ING2,MORF4L1_Halo,Halo_PHF12,Halo_RBBP4,Halo_SAP30,Halo_SAP30L,Halo_SAP130,SIN3A_Halo,SIN3B_2_Halo,Halo_SUDS3
0,1.25,0,0.5,1.666666667,0,0.4,4.75,0,20.6,0,0,0.666666667,1,24.25,1,0,0.25,0.666666667
0,0.25,0.25,0,0.666666667,0,3.2,1.75,0,0.2,0,0,17.77235772,0.25,0.25,2.666666667,0,0.625,0
0,0.5,0.5,0.25,1.666666667,0.333333333,0,0,0,0.6,0,1.666666667,1.666666667,0.25,3.5,0.333333333,0.333333333,56.75,1.333333333
0,0,0,0,0,0,2.3,50.46899571,0,0,0,0,11.11111111,0,0,0.083333333,0,0,0
0,0,0,0,0,0,47.6,18.75,0,0,0,0,10.66666667,0,0,0,0,0,0
0,0,0.299516908,0.5,0.333333333,0.333333333,0.2,0.25,1,0.4,0,0.4,1.026666667,0.285714286,0,24.33193242,0,0,0.666666667
0,0.125,0,0,0,0,47.9,90.1411315,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25.80238095,61.11453749,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.8,0,0,0,0,0,71.66666667,0,0,0,0,0,0
0,0,0,0,0,0,50.4243936,30.03670368,0,0,0,0,2.666666667,0,0,0,0,0,0
0,0,0,0,0,0,58.6,16.75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,42.97762254,12.85416667,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,742.2347156,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,486.6666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,40.09861772,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,171.6666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.4,3.666666667,0,0,0,59.25,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,116.3333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28.33333333,0,0,0,0,0,0,0,0,0,0.666666667
0,0,0,0,0,0,0,0,0,0,0,0,37.33333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,103.2882353,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,91.33333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45.66666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,48.33333333,0,0,0,0,0,0
0,0,0,0.25,0,0,0,0,0,0,0,0,37.66666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24.66666667,0,0,0,0,0,0
0,0,0,0,0,0.666666667,0.8,0,0.666666667,0.2,0,0,0,0,0,64.33333333,0,0.5,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.25,0,0,0,0,43.33333333,0,0.25,0,0,0,0
0,0,0,0,0,0,0,0,0,0,117.6666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,46.33333333,0,0,0,0,0,0
0,0,0,0,0,0,0.2,0,0,0,85,0,2.333333333,0,0,0,0,0,0
0,544.8490644,922.5285743,398.1820276,585.5862516,269.8775467,252.5770579,358.5419118,479.8641704,702.5107768,341.8440111,218.6666667,271.061671,257.5267374,543.2062169,708.5574713,463.5723999,242.3218682,257.8719397
0,75.34545455,191.430137,220.1638251,109.7794663,131.6049383,703.7152465,442.5649664,123.1943912,111.8256884,108.1006712,237,152.197656,285.3074552,767.9196607,760.5027202,304.9941774,560.2495253,68.54011387
0,18.25,31,32.5,56.66666667,27,36.2,22,25,80.8,26.33333333,152.3333333,128.3333333,15.5,55.75,67.66666667,46,20,9.333333333
0,7.904166667,17.87916667,114.3208333,59.22222222,25.48888889,452.0485714,332.9,57.05,41.92,19.52222222,90.73333333,49.72222222,161.3916667,382.1423077,531.4722222,81,337.8660714,11.7
0,76.91322482,95.33055595,92.91421551,98.66522739,115.3957441,207.6046689,132.7110954,130.8280154,106.7700685,66.91179539,80.69099178,99.61733194,72.09016603,144.2287865,687.4138277,82.38772541,90.54731764,72.64102118
0,67.5,107.5,87.75,96,110.6666667,66.4,46,69,133.8,63,84,88.66666667,73.25,123,169.3333333,76.66666667,73.75,36.66666667
0,59.25,105,72,110.6666667,109.6666667,49.4,60.25,78.33333333,127.4,133.3333333,110.6666667,105.6666667,67.5,118.75,77,185.3333333,24.75,69.66666667
0,16.75,4,26.5,5.666666667,5.666666667,4.8,4.75,3.666666667,26.2,3,2.333333333,7.333333333,10.25,24.25,6.666666667,4.333333333,0.75,11.66666667
0,11.875,11.125,22.875,16.16666667,33.83333333,6.7,12.25,10.33333333,47.4,11.66666667,14,26.5,12.5,10,10,11.66666667,2.625,7.166666667
0,47.5,62,41.75,72.29251701,163.893617,73.2,50.75,62,73.790625,162.9247312,139.6666667,79.82077922,34.17184265,54.97426471,63,194.4299859,43.725,30.61352657
0,5.541666667,6.208333333,10,14.85470085,5.777777778,70.5956797,37.94389132,21.92441763,15.81135531,4.333333333,11.16666667,52.69607843,5.692307692,14.39828431,31.68181818,14.16666667,14.14015152,15.24305556
0,17.98571429,40.12624968,23.66763566,28.88571429,24.17333333,10.775,11.5,29.77777778,47.55355441,22.22004357,41.62601626,28.61580087,21.85227273,33.58075803,17.89473684,26.19345238,8,59.38709677
0,34,50.5,40,33.66666667,47.66666667,13,14.75,27,76.6,30,57,37,14.75,26.25,20.33333333,62.66666667,15.5,21.66666667
0,10.5,20.25,35,20,10.66666667,8.2,7,22.66666667,43.2,11.66666667,6.333333333,11.33333333,20.25,10.25,15,9.666666667,2,45
0,16.5,13.5,17,41.66666667,15,4.2,8.25,12,21.2,9.333333333,12.33333333,11.33333333,4.75,6.5,12.33333333,21.66666667,4,59.33333333
0,21,19,26,74,36.66666667,16.6,12.75,7.666666667,47.2,22,30.33333333,44.66666667,13,27.75,31.66666667,22.33333333,5.5,17.66666667
0,30.2,81.61,61.19343354,67.14102564,71.66666667,20.2,15,50.96825397,92.57168142,21.29411765,79.66666667,70.54035088,23.25,23.68617021,41.33333333,55,13.5,33.92771084
0,30.75,68.75,57.74752475,62.66666667,81,19,16.5,38,51.4,18.66666667,65.66666667,44,22.75,12.5,27.33333333,69,15,21
0,15,29.25,24,27,16.66666667,9,6.75,21.66666667,21.2,15,23,32,10.25,10,13.33333333,17.66666667,9.5,56
0,46.5,56,76.5,90.33333333,56.66666667,35.6,38.25,47,71,61.33333333,92.66666667,45.66666667,39,54.75,67.66666667,57,26,17
0,4.25,9.865530303,6.388888889,8.765639589,21.54545455,2.92,3.6875,2.833333333,22.56946779,10.06666667,11.02639296,22.90990991,4.9875,13.89545455,18.6047619,10.16666667,3.9375,6.596491228
0,8.625,23.75,12.875,15.66666667,14.83333333,6.8,6.5,5.833333333,16.7,7.833333333,10.16666667,14.16666667,16.5,20,7.333333333,18.83333333,4.5,34
0,24.75,33.88299233,34.125,25.33333333,12,88.4,54.5,24.27536232,40,11,16.33333333,25.33333333,54.75,109,43.33333333,18.33333333,51.625,31.33333333
0,35.73231541,30.0676521,28.13340144,39.96658023,18.61408825,28.40999879,27.02037037,34.72877493,47.34738221,21.52222222,21.06169772,43.21958784,14.79831029,46.59547591,118.5606186,22.39981685,14.23100962,20.25618004
0,10.25,13.75,6.25,17,11.33333333,5.4,4,6.333333333,19.4,5.666666667,20.66666667,16.33333333,6,6,8.333333333,13.66666667,0.5,10
0,15,60.5,27.75,41,12,10,8.75,13,44.2,8.333333333,9.333333333,25.33333333,15.5,19,29.33333333,15,11,31.66666667
0,8.625,27.25,12.875,15.66666667,14.83333333,6.8,6.5,19.5,21.7,11.16666667,10.16666667,14.16666667,8,6.5,18.66666667,18.83333333,4.5,34
0,15.43421053,9.158333333,10.56944444,6.333333333,2.666666667,5.6,7.125,4.692307692,5.8,6.666666667,5.333333333,10.93333333,6.25,4.714285714,5.756613757,5,6,12.44038462
0,14.25,27.5,17,18.66666667,9.333333333,7.2,10.25,23,32.6,12.33333333,6.666666667,9,10.5,14,17.33333333,11.33333333,6.5,20.33333333
0,16.92018072,50.67871738,33.47407834,18.85819282,43.45578659,20.0229421,30.61523016,15.74957265,10.76982754,15.71510368,7.75,11.66579304,18.47763017,14.28854227,3.166666667,30.00230212,36.17813179,27.73917137
0,5,16.75,10.75,17,33.66666667,55,41.5,8.666666667,18.6,10,16.66666667,32.66666667,5.75,13,14.66666667,8.666666667,24.5,6.333333333
0,21.75,27.25,20,36.33333333,37.66666667,117,46.25,36,51.8,7.333333333,22.33333333,37.66666667,21,33,18.33333333,28,97.5,31
0,34,50,48,95.66666667,49.33333333,12.8,10.75,41,84.2,11.66666667,55.33333333,69,27.75,35.25,42.33333333,52,6.5,52
0,10,17.25,15,26.33333333,30.33333333,3.6,5.25,12,23.4,10,40,31.66666667,8,11.5,14,24.33333333,12,20.66666667
0,19.75,25,19.5,28.66666667,36,11.4,11.75,26,30.2,18,45.33333333,50,13.25,31.25,15.66666667,41,19,13.33333333
0,8.7375,20.8375,17.8,16.41666667,27.51666667,30.75,16.9375,24.10555556,24.70333333,26.07777778,38.53888889,24.80555556,13.51666667,23.25,113.4666667,28.83333333,15.875,12.92222222
0,38.31315133,65.57467558,38.83208095,71.69356501,48.74618916,23.59467919,22.01636661,35.2328832,41.52331603,34.73057764,91.91370011,57.2542735,23.86590909,25.77914244,35.43344841,80.73277543,17.31275253,56.06060606
0,37.20436508,4.25,14.48076923,62.66666667,5.277777778,16.5,1.875,16.5,33.62,9.222222222,16,23.91666667,21.75,26.25,18.16666667,8.833333333,7.25,10.30769231
0,7.75,12,17,13.55172414,20,6,5.25,7,17.6,5.333333333,9,10.52380952,9,6.75,11.95238095,6.333333333,7.75,8.666666667
0,22,19.5,10.25,13,16,8.6,4.5,5.666666667,23.4,6.666666667,11.33333333,11.66666667,5.75,7.5,6,8.666666667,4,9
0,8.75,9.75,15,17,5,44,13.25,44.33333333,18.4,8.666666667,11,18.33333333,21.25,75.25,25.33333333,7,25,6.666666667
0,2.75,7.5,8.25,16,4.666666667,5.8,3.5,7.333333333,12.6,16,7,17.66666667,8.5,8.75,8,12.66666667,2.25,17.33333333
0,4.639514897,6.251165501,4.169986264,5.325396825,4,32.32509713,24.3958389,1.977777778,5.757991202,1.37037037,3.716666667,8.921298337,3.374679487,3.58784219,3.333333333,1.880952381,1,5.96848603
0,23.88202811,17.91770833,17.46889401,10.27777778,5.5,5.6,8.417067308,19.8307014,13.25272899,9.385329619,9.416666667,18.3836471,5.907491364,25.5469075,13.1091954,30.09196468,6.875,2.777777778
0,10.75,36,16.25,25,29.66666667,9.6,11,20.66666667,29.4,20.33333333,26,50,11.25,19,26.66666667,37,10,25.33333333
0,28.5,29.75,19,22.33333333,8.666666667,12.2,12.25,21,22,2.333333333,7,12.66666667,21.5,20.25,22.33333333,13,3.75,30.66666667
0,28.420182,38.12324108,17.64448155,29.62587944,34.87603306,9.205320814,10.48363339,17.73813129,31.43339711,20.6027557,28.75296656,39.69810745,15.59705387,27.95866244,27.16655159,45.2142233,12.93724747,47.88265635
0,2.75,7,13.5,13.66666667,12,23.2,6.75,9.333333333,13,7.666666667,12,18.33333333,34.75,56,35.66666667,14.33333333,43.75,9
